,wc
558,0.01264352
559,0.013619966
560,0.018797264
561,0.0030050687
562,0.01255762
563,0.009889634
564,0.011250898
565,0.011922624
566,0.014237346
567,0.0113029815
568,0.013823161
569,0.0038258545
570,0.0027663512
571,0.017616108
572,0.01883651
573,0.0044630244
574,0.036377423
575,0.024356378
576,0.014325429
577,0.018157844
578,0.012251661
579,0.015426321
580,0.01082586
581,0.010388168
582,0.008904551
583,0.023986742
584,0.0070323003
585,0.023273626
586,0.012198819
587,0.008472143
588,0.0090416875
589,0.0076590534
590,0.024215505
591,0.004298497
592,0.027598167
593,0.015580833
594,0.017984578
595,0.0065761628
596,0.0048892554
597,0.0014511487
598,0.010797818
599,0.003396051
600,0.012249635
601,0.026103681
602,0.006423801
603,0.012706785
604,0.008220975
605,0.014472235
606,0.01940842
607,0.00712887
608,0.008988736
609,0.0097322585
610,0.026920468
611,0.009760449
612,0.0022490593
613,0.0033317776
614,0.0034396276
615,0.009126604
616,0.0072529046
617,0.007407318
618,0.004972499
619,0.009252707
620,0.006990196
621,0.0060353586
622,0.0066490704
623,0.00883382
624,0.01151934
625,0.015151904
626,0.003501351
627,0.007181706
628,0.0069597084
629,0.0068439217
630,0.004215597
631,0.0042889817
632,0.019562285
633,0.015692929
634,0.021018282
635,0.020910311
636,0.017512213
637,0.018897912
638,0.007941399
639,0.008542183
640,0.012284227
641,0.00394479
642,0.020596216
643,0.0036066817
644,0.020989649
645,0.023920445
646,0.009307106
647,0.0051444247
648,0.013690116
649,0.0035968842
650,0.025700431
651,0.007125317
652,0.007886806
653,0.0052475147
654,0.0132939955
655,0.010375115
656,0.0016913526
657,0.005493708
658,0.0025044773
659,0.0038740914
660,0.010844817
661,0.012931406
662,0.01916482
663,0.0051129945
664,0.010165366
665,0.0066982545
666,0.009318755
667,0.015043708
668,0.005226326
669,0.010847192
670,0.007280497
671,0.026439918
672,0.002192622
673,0.015912667
674,0.0017889822
675,0.0038354835
676,0.0016603917
677,0.004073307
678,0.0021438524
679,0.0057954295
680,0.0031231213
681,0.010413331
682,0.0038136737
683,0.004283867
684,0.0034018215
685,0.008825734
686,0.009213647
687,0.004372362
688,0.0083423
689,0.0041555827
690,0.0096200695
691,0.009396618
692,0.010434471
693,0.0063719526
694,0.01697297
695,0.015083235
696,0.0064702686
697,0.021508731
698,0.009387241
699,0.01518356
700,0.006309023
701,0.004085242
702,0.015132553
703,0.0028291345
704,0.013256358
705,0.0053358357
706,0.0088461675
707,0.0063463794
708,0.011312279
709,0.0029054629
710,0.009556427
711,0.0030593826
712,0.008552462
713,0.029280314
714,0.024844874
715,0.004275987
716,0.0052492414
717,0.009735881
718,0.004043879
719,0.0011516269
720,0.0053653363
721,0.0033688173
722,0.0067317663
723,0.0041391356
724,0.007427804
725,0.0030202605
726,0.005211953
727,0.0038869455
728,0.004492984
729,0.004190976
730,0.0015097512
731,0.0019347351
732,0.010348813
733,0.00444425
734,0.0035272064
735,0.0049036564
736,0.0037909457
737,0.0039327415
738,0.0058296295
739,0.002304051
740,0.0037219906
741,0.0015843259
742,0.0012778314
743,0.0055712247
744,0.0027939053
745,0.021648372
746,0.0038430756
747,0.004943855
748,0.006037062
749,0.0033018813
750,0.005962939
751,0.0049395403
752,0.0053738495
753,0.0040189577
754,0.0053153615
755,0.0044888183
756,0.017080238
757,0.0027163476
758,0.023167629
759,0.0017920937
760,0.00803447
761,0.0013933107
762,0.015079936
763,0.0037756842
764,0.004481931
765,0.0013248799
766,0.01979784
767,0.013711977
768,0.0019741934
769,0.0044035483
770,0.003744537
771,0.004769136
772,0.012178444
773,0.0026185308
774,0.0027473122
775,0.005642988
776,0.0033388613
777,0.0041068476
778,0.002835622
779,0.00063028187
780,0.0053447755
781,0.0048397854
782,0.0015821941
783,0.0058330456
784,0.003779579
785,0.002485902
786,0.0023191823
787,0.0014420105
788,0.003958759
789,0.0023839716
790,0.0016664173
791,0.0010501035
792,0.0024400232
793,0.009454323
794,0.005368963
795,0.0015207585
796,0.0012894636
797,0.0032002777
798,0.00234281
799,0.0013467614
800,0.0020293575
801,0.0026375614
802,0.0028461413
803,0.0020347573
804,0.0010963967
805,0.0030590948
806,0.005191285
807,0.0049359947
808,0.0026636655
809,0.0018988755
810,0.0052511366
811,0.0022625905
812,0.0032717837
813,0.010480205
814,0.0035736626
815,0.0026322892
816,0.006340269
817,0.005092875
818,0.0060224393
819,0.0029885173
820,0.00508679
821,0.0032082098
822,0.008359385
823,0.0010197228
824,0.007898902
825,0.0031482177
826,0.0042350097
827,0.0021014502
828,0.0036144564
829,0.0015929071
830,0.0023944955
831,0.0014120229
832,0.0050262166
833,0.0033671306
834,0.010865915
835,0.0019166218
836,0.0011881022
837,0.0016331263
838,0.00045278575
839,0.0008855164
840,0.0012243092
841,0.0016586483
842,0.0012200288
843,0.003402003
844,0.0024255207
845,0.002093847
846,0.0022731507
847,0.0014441656
848,0.0011035642
849,0.0021068398
850,0.00088158343
851,0.0118200015
852,0.0017289212
853,0.0010736175
854,0.0020842245
855,0.0009878865
856,0.000731647
857,0.0016536387
858,0.0038203644
859,0.002442846
860,0.0022409828
861,0.0008861972
862,0.0028819107
863,0.0004646685
864,0.002256738
865,0.005490871
866,0.0013885563
867,0.00093677826
868,0.001334358
869,0.00069904793
870,0.0018982822
871,0.0028872723
872,0.00087624043
873,0.001559671
874,0.0018456681
875,0.0031728018
876,0.0011430085
877,0.0063915187
878,0.0018504653
879,0.0008001905
880,0.001606171
881,0.0014162902
882,0.0033291942
883,0.000801987
884,0.0010497356
885,0.004301057
886,0.003852033
887,0.0007624794
888,0.0007881513
889,0.0023575174
890,0.0016214233
891,0.0019878494
892,0.00086241774
893,0.0005740505
894,0.0015740246
895,0.0012097871
896,0.0018704757
897,0.0004577199
898,0.00046666525
899,0.000477219
900,0.0007928442
901,0.0010598265
902,0.0015997188
903,0.0007265676
904,0.0013675792
905,0.0010222374
906,0.0006549759
907,0.0011525676
908,0.0010007136
909,0.0013649426
910,0.0025283229
911,0.0004584547
912,0.0005822005
913,0.0010140194
914,0.00077879895
915,0.001827213
916,0.0007252963
917,0.0008496726
918,0.0005840054
919,0.0015369551
920,0.00056384876
921,0.0006414931
922,0.00085928664
923,0.0018813107
924,0.0009014113
925,0.0021847244
926,0.0010526162
927,0.0016522743
928,0.0008093454
929,0.0006305007
930,0.00090103317
931,0.0007186318
932,0.00133071
933,0.00047965627
934,0.00065599196
935,0.00090281013
936,0.00078054983
937,0.0004312275
938,0.0014194548
939,0.0015489608
940,0.0013235025
941,0.00040276628
942,0.00059166085
943,0.0006606048
944,0.0009767702
945,0.0010216301
946,0.0015670871
947,0.0010188324
948,0.0016354006
949,0.0012917537
950,0.0024722498
951,0.00094433594
952,0.00155757
953,0.00044778548
954,0.0010754531
955,0.000548603
956,0.0010065576
957,0.0011063674
958,0.00022690557
959,0.00084929354
960,0.0009031901
961,0.00030328985
962,0.001522636
963,0.000498442
964,0.0008366266
965,0.000801987
966,0.0004783282
967,0.0007575741
968,0.0004960345
969,0.00051029585
970,0.0024584811
971,0.0006149383
972,0.0004618736
973,0.00039664097
974,0.00044828095
975,0.000943576
976,0.0006924048
977,0.0011150567
978,0.00058731623
979,0.00093969423
980,0.0003160918
981,0.0007578973
982,0.00071063545
983,0.000965748
984,0.0007453915
985,0.0007897224
986,0.0050739227
987,0.00057762023
988,0.0008744644
989,0.0007412927
990,0.00076648407
991,0.0011029923
992,0.0023036143
993,0.0008600941
994,0.00032201596
995,0.0029599164
996,0.00089152064
997,0.00046270527
998,0.0037141973
999,0.0012475951
1000,0.00067734346
1001,0.0006552404
1002,0.0021321056
1003,0.000270403
1004,0.0004044203
1005,0.0012720134
1006,0.0007678941
1007,0.0015094243
1008,0.00046024192
1009,0.0009262385
1010,0.0006223824
1011,0.0007474916
1012,0.0005430011
1013,0.0010027857
1014,0.00026793033
1015,0.0009355666
1016,0.00065155234
1017,0.00073754136
1018,0.00031771138
1019,0.0007933602
1020,0.0005063396
1021,0.0004738029
1022,0.00090122595
1023,0.0010085152
1024,0.0003207801
1025,0.0006898781
1026,0.00034603756
1027,0.000539843
1028,0.0004975423
1029,0.00043106824
1030,0.00062577147
1031,0.00029793847
1032,0.00067018066
1033,0.00048902165
1034,0.0002623964
1035,0.0006557442
1036,0.0004918007
1037,0.00060458016
1038,0.0003991127
1039,0.0006677434
1040,0.0004777601
1041,0.00041834638
1042,0.00017672684
1043,0.00034045056
1044,0.0007577874
1045,0.00084154494
1046,0.0014491957
1047,0.00063955504
1048,0.00043630786
1049,0.00039737858
1050,0.0003175335
1051,0.0012474591
1052,0.000431112
1053,0.00044435542
1054,0.0005167406
1055,0.00066520553
