,wc
1014,1.1977504
1015,1.3541228
1016,1.3055615
1017,1.3557172
1018,1.6528403
1019,1.0673094
1020,1.3595642
1021,1.4194291
1022,1.255681
1023,1.2421352
1024,1.224852
1025,1.410945
1026,1.350125
1027,1.4594135
1028,1.2496434
1029,1.4735067
1030,1.1923803
1031,1.3457505
1032,1.4817852
1033,1.3000015
1034,1.2551177
1035,1.2183466
1036,1.4375348
1037,1.3909566
1038,1.3266294
1039,1.0612186
1040,1.3541373
1041,1.2198048
1042,1.6054953
1043,1.2241064
1044,1.038432
1045,1.2675848
1046,0.9992582
1047,1.3981621
1048,1.314802
1049,1.2041271
1050,1.3445318
1051,1.313821
1052,1.2592419
1053,1.1817205
1054,1.3595282
1055,1.0393871
1056,1.2823169
1057,1.1442554
1058,1.3058369
1059,1.2241522
1060,1.1748623
1061,1.3469292
1062,1.287874
1063,1.2614057
1064,1.1900576
1065,1.3897939
1066,1.1811358
1067,1.1114082
1068,1.3893827
1069,1.2897042
1070,1.1030759
1071,1.36783
1072,1.2822621
1073,1.2673744
1074,1.1522558
1075,1.1189017
1076,1.0645229
1077,1.108828
1078,1.1191958
1079,1.0959418
1080,1.36449
1081,1.3355116
1082,1.3580217
1083,1.338226
1084,1.1310521
1085,1.2514718
1086,1.2051778
1087,1.4406354
1088,1.2211246
1089,1.2357053
1090,1.0895112
1091,1.0108827
1092,1.3666192
1093,1.1198524
1094,1.1419625
1095,0.9544495
1096,0.9878291
1097,1.2415861
1098,0.9929097
1099,1.1764525
1100,1.475594
1101,1.0852923
1102,1.200522
1103,1.4626808
1104,1.257333
1105,0.9954216
1106,1.18051
1107,1.0157433
1108,1.0959555
1109,1.0931727
1110,1.0047653
1111,1.16905
1112,1.0147296
1113,1.1709293
1114,1.1984596
1115,1.3623693
1116,1.0173995
1117,1.1176192
1118,1.1922944
1119,1.4670942
1120,1.2259759
1121,1.3220294
1122,1.2590344
1123,1.1087484
1124,1.1761605
1125,1.352887
1126,1.1275042
1127,1.14335
1128,1.0394901
1129,1.1151787
1130,0.9209469
1131,1.4349568
1132,1.337003
1133,1.2316782
1134,1.4763098
1135,1.0636231
1136,1.1406144
1137,1.0672289
1138,0.98633784
1139,1.0561401
1140,1.0961707
1141,1.1573571
1142,1.2268999
1143,1.198003
1144,1.194551
1145,1.205561
1146,1.1130106
1147,1.1934593
1148,1.0123028
1149,1.056698
1150,1.0121865
1151,1.2428811
1152,1.0543797
1153,1.142317
1154,1.261142
1155,1.0803188
1156,1.1589344
1157,1.2003907
1158,0.9561924
1159,1.1759874
1160,1.1501917
1161,1.1876444
1162,1.2426525
1163,1.1162069
1164,1.0867962
1165,1.2628976
1166,1.1389548
1167,0.92993146
1168,1.2930439
1169,1.0875411
1170,1.0451541
1171,1.0788374
1172,1.1962193
1173,0.9333201
1174,0.97603655
1175,1.1091133
1176,0.9670156
1177,0.94597554
1178,1.1543525
1179,1.1092564
1180,1.2099692
1181,1.3283328
1182,1.4216061
1183,1.16197
1184,1.3015153
1185,1.1709712
1186,1.3106251
1187,1.1050435
1188,1.1902176
1189,1.0519084
1190,1.2607315
1191,1.4318027
1192,0.94754714
1193,1.0222249
1194,1.1564163
1195,1.1212472
1196,1.3051059
1197,0.94862825
1198,0.9669368
1199,1.2254155
1200,1.2739519
1201,1.2231472
1202,1.1610788
1203,0.95293486
1204,1.1242311
1205,1.1426947
1206,1.0289086
1207,1.0697206
1208,0.90752774
1209,0.9255166
1210,1.2951068
1211,1.1733117
1212,1.0058702
1213,1.1067195
1214,1.123901
1215,0.993959
1216,1.006089
1217,0.85901314
1218,1.0873587
1219,1.0916805
1220,1.2653949
1221,1.0774616
1222,1.2496105
1223,0.8805667
1224,1.1033216
1225,0.9693741
1226,0.9748426
1227,0.8071945
1228,1.0250462
1229,1.0043203
1230,0.99281675
1231,1.3210434
1232,0.98423696
1233,1.0765202
1234,1.1318611
1235,0.9221251
1236,1.0587432
1237,0.7829602
1238,0.9214769
1239,1.0407073
1240,0.9992515
1241,0.90920186
1242,0.8635084
1243,0.88905025
1244,0.892168
1245,0.8648687
1246,0.97856987
1247,0.8930146
1248,0.88396275
1249,1.1323268
1250,0.9979967
1251,1.0433007
1252,1.0486281
1253,0.79457957
1254,0.7259379
1255,0.86825514
1256,1.0078495
1257,0.8317242
1258,0.90685177
1259,0.98151106
1260,0.8464778
1261,0.9201253
1262,0.97563356
1263,0.9448633
1264,1.1156477
1265,0.9119268
1266,0.8681093
1267,0.814897
1268,0.8211761
1269,0.89160836
1270,1.0005795
1271,0.876317
1272,0.87787676
1273,1.0189698
1274,0.8443597
1275,0.83016354
1276,1.1313337
1277,0.9601423
1278,1.0394361
1279,0.88203114
1280,1.0071718
1281,1.0164459
1282,0.6794161
1283,0.91961485
1284,0.63197535
1285,0.84613484
1286,0.87079173
1287,0.7852899
1288,1.0899247
1289,0.9773224
1290,0.6967296
1291,0.8766043
1292,0.8045487
1293,0.8596307
1294,0.7448109
1295,0.82669675
1296,0.7828857
1297,0.6988703
1298,0.8641757
1299,0.91170895
1300,0.9274231
1301,0.7309159
1302,0.77160454
1303,0.736829
1304,0.9200351
1305,0.62297076
1306,0.8846716
1307,0.67825717
1308,0.9112209
1309,0.788876
1310,0.7129658
1311,0.875491
1312,0.87855667
1313,0.717417
1314,0.60850173
1315,0.9732197
1316,0.68490195
1317,0.89586776
1318,0.86256355
1319,0.9423851
1320,0.6632337
1321,0.8628964
1322,0.83853644
1323,0.95370877
1324,0.877226
1325,0.7925757
1326,0.685195
1327,1.0438108
1328,0.7242146
1329,0.74244833
1330,0.77097327
1331,0.9641013
1332,1.0265745
1333,0.71741134
1334,0.858612
1335,0.8670924
1336,0.83146363
1337,0.8227464
1338,0.7434733
1339,0.9431238
1340,0.5493774
1341,0.77238303
1342,0.5592446
1343,0.51205087
1344,0.8514395
1345,0.5952262
1346,0.7730866
1347,0.7768084
1348,0.62582225
1349,0.58481634
1350,0.41726455
1351,0.60070664
1352,0.54181844
1353,0.6052704
1354,0.5670694
1355,0.7099253
1356,0.66165286
1357,0.6517692
1358,0.58100045
1359,0.52234036
1360,0.7185619
1361,0.6550572
1362,0.44671026
1363,0.5513597
1364,0.60971427
1365,0.5819742
1366,0.5462623
1367,0.5749612
1368,0.5478196
1369,0.40203756
1370,0.55836344
1371,0.57670724
1372,0.44589078
1373,0.7277154
1374,0.68692666
1375,0.5255395
1376,0.44811317
1377,0.6063134
1378,0.6296241
1379,0.5127611
1380,0.5619995
1381,0.62823707
1382,0.54885465
1383,0.6134858
1384,0.47412437
1385,0.5225673
1386,0.5963792
1387,0.7724789
1388,0.55797863
1389,0.5292141
1390,0.56175876
1391,0.586524
1392,0.52253014
1393,0.70904404
1394,0.5848362
1395,0.3861198
1396,0.47631696
1397,0.49498636
1398,0.525267
1399,0.44593704
1400,0.42339727
1401,0.3302792
1402,0.51793414
1403,0.39778164
1404,0.49651346
1405,0.4141074
1406,0.51674473
1407,0.36258537
1408,0.35817578
1409,0.3121054
1410,0.5184226
1411,0.53548944
1412,0.58686686
1413,0.4360953
1414,0.52659434
1415,0.38131106
1416,0.3904864
1417,0.47075808
1418,0.46577793
1419,0.40620255
1420,0.40056205
1421,0.37132284
1422,0.3252495
1423,0.28954315
1424,0.39068282
1425,0.40621904
1426,0.3102527
1427,0.548769
1428,0.299092
1429,0.39773157
1430,0.5734964
1431,0.39569944
1432,0.3159253
1433,0.37003174
1434,0.30237988
1435,0.5089337
1436,0.24331117
1437,0.4133767
1438,0.3642425
1439,0.47369912
1440,0.23456326
1441,0.41989526
1442,0.29493648
1443,0.43401885
1444,0.3942045
1445,0.22883736
1446,0.32982656
1447,0.37401655
1448,0.49141178
1449,0.3536196
1450,0.16555019
1451,0.30646724
1452,0.26912618
1453,0.2007851
1454,0.21673985
1455,0.2758351
1456,0.3045688
1457,0.15505095
1458,0.23802271
1459,0.22976102
1460,0.2550474
1461,0.21482697
1462,0.22779845
1463,0.25697592
1464,0.2157361
1465,0.3393675
1466,0.16831803
1467,0.22632363
1468,0.19540422
1469,0.26106396
1470,0.2308885
1471,0.26496285
1472,0.28928208
1473,0.20596361
1474,0.30711296
1475,0.27587515
1476,0.11175622
1477,0.42556888
1478,0.31462485
1479,0.24799679
1480,0.17194162
1481,0.21778415
1482,0.18119758
1483,0.18427977
1484,0.2829428
1485,0.17406042
1486,0.12554422
1487,0.13789426
1488,0.18252489
1489,0.21376345
1490,0.2103064
1491,0.18662784
1492,0.31613156
1493,0.10447173
1494,0.10788935
1495,0.14469051
1496,0.16172138
1497,0.16065854
1498,0.15484557
1499,0.17551601
1500,0.18242022
1501,0.10278276
1502,0.16421752
1503,0.14887114
1504,0.19083542
1505,0.22790799
1506,0.17189369
1507,0.16011478
1508,0.084929205
1509,0.09281861
1510,0.16306354
1511,0.11537477
1512,0.11304144
1513,0.1264635
1514,0.09997173
1515,0.09489099
1516,0.12029981
1517,0.19302517
1518,0.13053274
1519,0.13763508
1520,0.13303511
1521,0.13920763
1522,0.07667844
1523,0.097982146
1524,0.15226316
1525,0.13232483
1526,0.13328373
1527,0.1258075
1528,0.087965116
1529,0.059750363
1530,0.14636621
1531,0.106406845
1532,0.108350515
1533,0.1146372
1534,0.142663
1535,0.08021826
1536,0.04868859
1537,0.07561573
1538,0.10277769
1539,0.13766184
1540,0.16791174
1541,0.09496255
1542,0.1164854
1543,0.106454894
1544,0.08211186
1545,0.06474035
1546,0.111129485
1547,0.077831246
1548,0.04354895
1549,0.088805094
1550,0.06983663
1551,0.07649498
1552,0.062319428
1553,0.07183383
1554,0.062148817
1555,0.03108662
1556,0.035960604
1557,0.049870856
1558,0.047261678
1559,0.059442393
1560,0.04373236
1561,0.072244905
1562,0.051344916
1563,0.057753835
1564,0.051521778
1565,0.13871036
1566,0.06940295
1567,0.041641377
1568,0.08089845
1569,0.08768629
1570,0.07669951
1571,0.06392605
1572,0.046803173
1573,0.03907506
1574,0.057273418
1575,0.045902293
1576,0.03818502
1577,0.03521838
1578,0.04101875
1579,0.053844657
1580,0.042670853
1581,0.06519339
1582,0.03830789
1583,0.050405573
1584,0.031945102
1585,0.06322109
1586,0.030380692
1587,0.048947893
1588,0.03142126
1589,0.04391123
1590,0.029433664
1591,0.03230966
1592,0.041261546
1593,0.06251275
1594,0.015180787
1595,0.04208711
1596,0.037336368
1597,0.018336864
1598,0.04881958
1599,0.04688956
1600,0.03587593
1601,0.017180959
1602,0.03005187
1603,0.02962669
1604,0.02226013
1605,0.01677455
1606,0.04022148
1607,0.016594259
1608,0.026642952
1609,0.05174881
1610,0.026400758
1611,0.022608195
1612,0.025764376
1613,0.021395579
1614,0.025217522
1615,0.028426928
1616,0.024974275
1617,0.030720873
1618,0.018993586
1619,0.029217202
1620,0.025700431
1621,0.019384757
1622,0.013218062
1623,0.014780685
1624,0.02019621
1625,0.023372903
1626,0.0257348
1627,0.019133553
1628,0.01984413
1629,0.011458941
1630,0.028829621
1631,0.021802649
1632,0.021522794
1633,0.014953714
1634,0.025790777
1635,0.015738558
1636,0.020168494
1637,0.019133985
1638,0.015670992
1639,0.011964523
1640,0.020617293
1641,0.016743226
1642,0.016631037
1643,0.021894466
1644,0.009633103
1645,0.017900243
1646,0.013101776
1647,0.015394078
1648,0.020422436
1649,0.031963125
1650,0.013972501
1651,0.013920491
1652,0.017016344
1653,0.0317477
1654,0.013677815
1655,0.012075328
1656,0.013786656
1657,0.014334173
1658,0.010635394
1659,0.008276087
1660,0.017577205
1661,0.008865799
1662,0.01568542
1663,0.007709003
1664,0.01451812
1665,0.011399115
1666,0.014294375
1667,0.0075929333
1668,0.017772932
1669,0.011922208
1670,0.014815831
1671,0.011173333
1672,0.01232051
1673,0.01222446
1674,0.008482616
1675,0.015673766
1676,0.015868805
1677,0.011555349
1678,0.010473343
1679,0.013687581
1680,0.0073860968
1681,0.016425649
1682,0.011193433
1683,0.008746295
