,wc
915,19.253967
916,25.833282
917,25.468933
918,22.46878
919,25.2901
920,58.26419
921,21.10431
922,18.011597
923,28.854279
924,19.983093
925,44.402374
926,59.222473
927,57.25522
928,31.98465
929,14.847046
930,28.062164
931,74.72858
932,26.608765
933,12.8038025
934,29.677643
935,38.13376
936,61.116943
937,53.72174
938,29.119751
939,50.859436
940,45.374268
941,41.025116
942,62.835876
943,15.430359
944,35.394287
945,47.093506
946,40.280518
947,30.705414
948,43.210022
949,25.349152
950,32.07318
951,46.17694
952,50.39395
953,22.977997
954,33.65393
955,47.709442
956,35.933167
957,18.109314
958,17.970764
959,49.445038
960,35.950928
961,22.419006
962,48.87195
963,37.572357
964,30.820007
965,19.575806
966,15.88504
967,33.06598
968,28.995544
969,29.317627
970,27.40979
971,25.947754
972,16.892487
973,14.978119
974,26.040192
975,20.86438
976,16.200317
977,14.73941
978,22.305878
979,34.33966
980,34.96585
981,27.633026
982,26.21228
983,13.677887
984,21.621185
985,17.66986
986,43.59662
987,28.12918
988,31.635986
989,17.532501
990,14.890808
991,29.64862
992,13.311798
993,28.221375
994,37.24408
995,20.52951
996,34.411255
997,17.547455
998,49.60562
999,33.829163
1000,32.069244
1001,12.955231
1002,34.490326
1003,8.825958
1004,15.025116
1005,43.689972
1006,24.70578
1007,26.167145
1008,21.029938
1009,23.804596
1010,23.790527
1011,15.926971
1012,25.988068
1013,27.879364
1014,19.3638
1015,23.132599
1016,12.512878
1017,29.956085
1018,22.649384
1019,16.094208
1020,21.677094
1021,17.466827
1022,17.542969
1023,30.857025
1024,24.787628
1025,20.892181
1026,23.096832
1027,10.430084
1028,38.10309
1029,10.069702
1030,16.35492
1031,20.057983
1032,10.623352
1033,13.637604
1034,6.3425903
1035,16.787292
1036,28.973236
1037,17.123962
1038,14.63147
1039,11.5763855
1040,18.299896
1041,10.269287
1042,17.706787
1043,12.18927
1044,24.702698
1045,25.96994
1046,24.548187
1047,12.8654785
1048,5.8871155
1049,15.798248
1050,22.219482
1051,17.457489
1052,16.883118
1053,22.905182
1054,26.25119
1055,26.312927
1056,20.012909
1057,11.680145
1058,23.750183
1059,37.961548
1060,15.448212
1061,12.675201
1062,10.012604
1063,26.07901
1064,18.96579
1065,19.082184
1066,29.138062
1067,8.077454
1068,22.52539
1069,18.20337
1070,14.561737
1071,9.203003
1072,15.851624
1073,16.307404
1074,24.758392
1075,14.300629
1076,13.717651
1077,15.337616
1078,10.378235
1079,15.043152
1080,17.94403
1081,17.999084
1082,12.460541
1083,9.933746
1084,14.152954
1085,12.15686
1086,13.443817
1087,14.055176
1088,11.772491
1089,4.922699
1090,30.401611
1091,12.902618
1092,5.7065125
1093,12.445862
1094,11.4653015
1095,15.879761
1096,7.911438
1097,7.821533
1098,13.838318
1099,10.026398
1100,17.403595
1101,11.507782
1102,8.956696
1103,13.651764
1104,7.4654846
1105,38.52823
1106,18.556732
1107,4.4427185
1108,11.306763
